muhammadjafar_iqbal,Count,farseem_m_mohammodi,Count,hasan_mamun,Count,d-m-anwar_hosen,Count,amnullah_kabir,Count,mm_akash,Count,chiro_ranjan,Count,q_r_islam,Count,anu_mohammad,Count,afsan_chowdhury,Count
উদার,2,প্রসঙ্গ,3,আনুষ্ঠানিকতা,2,আলিম,2,জনস্বার্থ,2,অসহায়,2,ইচ্ছাই,1,হলনা,1,বেনেসুয়েলায়,1,ভাষাদ্রোহীর,1
সুতো,2,নিয়ন্ত্রিত,3,যৌথবাহিনীর,2,চাকার,2,মসনদে,2,ঘাট,2,রাজনৈতিকভাবে,1,দৌরাত্ম্য,1,অবস্থানও,1,বেশিদূর,1
শুনছে,2,পরিবর্তিত,3,বরাত,2,কর্মকাণ্ডে,2,সেনের,2,সমর্থকরা,2,সত্যাশ্রয়ী,1,লাভে,1,গুরু,1,একেকটা,1
একাডেমির,2,শুনি,3,থাকায়,2,লতা,2,অপেক্ষমান,2,নয়া,2,কসাই,1,নির্ভশীলতা,1,ছড়ি,1,আদর্শিক,1
অনুসারী,2,এতোদিন,3,জানাচ্ছে,2,তদনুযায়ী,2,জবানবন্দিতে,2,ধর্ষণ,2,‍তুলে,1,সালাদ,1,আগ্নেয়াস্ত্রের,1,করতেন,1
খবোধ,2,শেফালী,3,স্থিতিশীলও,2,সাময়িক,2,বসার,2,নজির,2,প্রত্যয়গুলোতে,1,পত্রপত্রিকায়,1,ছয়টি,1,বসানোর,1
ঢিসুম,2,তারামন্ডলীগুলো,3,মন্ত্রণালয়ের,2,সেদিনের,2,দ্বিধা,2,নেতৃত্বদানকারী,2,দায়ী,1,জারি,1,রিফাইনারী,1,মারল,1
ভাত,2,মূর্তিগুলো,3,আগ্নেয়াস্ত্র,2,জবানবন্দির,2,পাশ,2,ব্যাপারটা,2,স্ত্রীর,1,উদ্ভুত,1,শস্যভাণ্ডার,1,জনগনের,1
পরিজন,2,পানে,3,চার্জশিটে,2,বিপ্লবীদের,2,চিহ্নিত,2,আকারে,2,কাটাছাঁটা,1,জারী,1,দখলদারদের,1,করিছে,1
বলেননি,2,নেশায়,3,অযোগ্য,2,ছাত্রবিক্ষোভ,2,শুক্রবার,2,দুর্বলতার,2,চৈতন্যের,1,লাফিয়ে,1,বাস্তচ্যুতির,1,এটুকু,1
হেনরি,2,বন্টনের,3,কভার,2,সমাহিত,2,আবির্ভুত,2,বিনিময়,2,আবরণ,1,এনেছো,1,বলিবারের,1,পোষণ,1
সেন্টারের,2,লিওনার্দো,3,অসহিষ্ণুতা,2,নির্মিত,2,স্তর,2,ফায়ার,2,নাজমুল,1,থালায়,1,রেকর্ড,1,হায়রে,1
গেমের,2,পায়,3,ছড়িয়েছে,2,তড়িৎ,2,পান,2,মোটিভ,2,সম্বলিত,1,রিক্সাওয়ালা,1,শুনলে,1,অধ্যক্ষ,1
বামে,2,ড্রেক,3,কর্তৃত্ব,2,সমাধানে,2,পার,2,উক্তির,2,অমলিন,1,বালাদেশে,1,জাতিসংঘেরই,1,আল্লাহ,1
হেফাজতের,2,জোহানেস,3,শোনার,2,আস্তে,2,নৈরাজ্য,2,আপিল,2,অনুসরণের,1,প্রকল্পটি,1,কেন্দ্রীভবনের,1,যৌথ,1
সৌন্দর্য,2,দুরূহ,3,আঙ্গিনায়,2,দেয়নি,2,রাজধানীসহ,2,অপেক্ষা,2,ছন্দ,1,অনুভব,1,ডিলারশীপ,1,যৌন,1
দেহটি,2,মেষরাশিতে,3,নেতৃত্বের,2,রবীন্দ্রনাথের,2,তিক্ত,2,প্রথমটি,2,তৃতীয়,1,বাঁধ,1,টুপার্ক,1,নিরাশ্রয়কে,1
জুন,2,আইনস্টানের,3,চাষের,2,প্রসিকিউশন,2,শোকার্ত,2,কর্মপরিবেশ,2,প্রতিক্রিয়ায়,1,প্রতিষ্ঠিত,1,মিলিয়ে,1,জোটে,1
ডানে,2,দর্শনের,3,সিদ্দিক,2,ধিক্কারে,2,খালেদার,2,ব্যর্থতা,2,প্রসূতিমৃত্যু,1,মৃত্তিকা,1,দুর্দশাও,1,মতিন,1
হামলা,2,তত্ত্বাবধানে,3,মান্নার,2,সবকিছু,2,কাছেও,2,বেসরকারিকরণ,2,স্বার্থসিদ্ধির,1,মিত্ররা,1,গ্রানাডায়,1,সদালাপী,1
মহাসমাবেশটি,2,পেরিয়ে,3,যৌক্তিকতা,2,মতবিনিময়,2,কাছেই,2,এগুতে,2,ভিতর,1,গ্রহণযোগ্যতা,1,দ্বারাই,1,সাত,1
বখশিশ,2,গোষ্ঠী,3,প্রদেশ,2,সন্ত্রস্ত,2,পরিস্থিতিকে,2,দারিদ্র্য,2,অগ্নিকাণ্ডে,1,স্বাস্থের,1,লবিষ্টদের,1,ঠেকানোর,1
ছয়জন,2,ভার্নাল,3,ঘটনাই,2,ধারাবাহিকভাবে,2,সাম্প্রদায়িকতার,2,তাঁরা,2,কালো,1,শহরতো,1,আলমকে,1,অসৎ,1
পঙ্গু,2,সহায়তা,3,ভূখণ্ডে,2,ফায়ারিং,2,হানিকর,2,গণবিপ্লবী,2,পতাকা,1,পাতলা,1,সমষ্টির,1,জানিয়েছিলেন,1
যুদ্ধাপরাধী,2,শিক্ষাঙ্গন,3,থাকল,2,ফর্সা,2,বিস্ময়ের,2,চেষ্টাও,2,পুষিয়ে,1,প্রতিষ্ঠার,1,জান,1,সংস্করণের,1
মতে,2,ক্ষীণ,3,মুসল্লিদের,2,ফুটপাতটি,2,অংশগ্রহণমূলক,2,বিদ্রোহই,2,উভয়,1,ইঞ্জিনে,1,সমিতি,1,নেতিবাচক,1
লেখারও,2,প্রাচীনকালে,3,চক্রাকারে,2,অপ্রত্যাশিতভাবে,2,প্রতিপন্ন,2,বাচ্চু,2,রতনসহ,1,এশিয়াতে,1,সমাবেশ,1,মুসলিমরাই,1
থাকবেন,2,বর্ণনায়,3,সাধনে,2,প্রচেষ্টা,2,প্রমোট,2,কাজেই,2,রফিককে,1,হাতাহাতি,1,জায়গায়,1,নৈতিক,1
শব্দটির,2,বর্ণনার,3,সম্পাদিত,2,বলছে,2,মনগড়া,2,টোকিও,2,মুনের,1,চিরাচরিত,1,জানালেও,1,কড়া,1
জন্মেছে,2,দক্ষতায়,3,দ্রুতগতিতে,2,আলোয়,2,শক্তিপরীক্ষা,2,বিয়াল্লিশ,2,একদা,1,কলাকৌশলের,1,সংকোচন,1,হানে,1
স্যুট,2,দক্ষতার,3,রাখি,2,রানে,2,পূর্ববর্তী,2,মানের,2,বাক্যপ্রয়োগ,1,বিপদেই,1,সামন্তবাদকে,1,ফরিদা,1
কাহিনিটি,2,পছন্দের,3,দাপ্তরিক,2,শহীদুল্লাহ,2,ঘরানার,2,প্রতিশ্রুতিও,2,দেশটার,1,জালে,1,অফার,1,বোঝানোর,1
নির্ভাবনার,2,কোর্স,3,বাতিলের,2,বিষাদের,2,মিডিয়াও,2,মনোবল,2,দোলাচলে,1,ঝাড়াইয়ের,1,চুক্তিরই,1,বাড়ানো,1
রাজনীতিবিদদের,2,তুলনামূলকভাবে,3,মুনাফায়,2,সম্পৃক্ততা,2,মাপমাঠি,2,তুললেন,2,যুদ্ধের,1,ইরান,1,পুরোটা,1,পন্ডিতবর্গ,1
নুইয়ে,2,শান্তি,3,নিহিত,2,ঘোষণাকে,2,উপযুক্ত,2,দলসমূহ,2,আত্মনির্ভরতা,1,স্বভাবতই,1,নিত্যপ্রয়োজনীয়,1,গৃহবন্দি,1
চক্ষু,2,এমনও,3,প্লে,2,বদনাম,2,পদমর্যাদায়,2,প্রমানিত,2,অবমাননা,1,ভয়ও,1,পার্কে,1,ভেবেই,1
ঘুরোঘুরি,2,অন্যটি,3,জালিয়াতি,2,পুরাতন,2,কেনো,2,আনার,2,বিষ্ণুর,1,বাড়িযে,1,সম্মানজনক,1,জু,1
রুদ্ধশ্বাস,2,সাহিত্যে,3,একটাই,2,মৃত্যুতে,2,অমার্জনীয়,1,সঙ্গেও,2,পরাধীন,1,রক্তে,1,বিধানের,1,চটেছেন,1
দুজনকেই,2,বিশৃঙ্খলা,3,সহানূভূতি,2,মাহমুদউল্লাহ্‌র,2,ভাষণই,1,ব্যয়ে,2,মরেও,1,আধাআধি,1,জুস,1,পাত্রজ্ঞান,1
সহযোগী,2,চাইছিলেন,3,নিষ্পত্তির,2,কেল্লার,2,স্বচ্ছতার,1,রাজার,2,চলত,1,ভর্তি,1,দেখেছিলেন,1,বুকে,1
জীবিত,2,অনন্ত,3,চাপও,2,প্রারম্ভিক,2,টেলিফোনেও,1,পরিমাণগত,2,ইকোনোমিস্টের,1,প্যাকেট,1,সুফল,1,আসছেন,1
হজ্বে,2,অর্ধ,3,আনাচে,2,ভাইকে,2,কুতর্ক,1,লড়াইয়ে,2,চলল,1,ফান্ডিং,1,চোখে,1,দেশও,1
আমের,2,পড়েছি,3,গণধোলাইয়ের,2,সীমাবদ্ধতা,2,প্রত্যাহারপত্রে,1,রাজায়,2,নম্র,1,মূখ,1,সুয়েজ,1,ব্যাংকে,1
গ্রহণযোগ্য,2,মাস্টার্স,3,গড়িয়ে,2,স্বাধীনতাকামী,2,আত্মমগ্ন,1,জনাব,2,ভেবেছিলাম,1,সম্পৃক্ততার,1,প্রকল্পেও,1,বাড়ছেই,1
বালি,2,বিভাজিত,3,হানিমুন,2,দয়াপ্রদর্শন,2,শর্তাবলীও,1,সংস্থান,2,বাধ্যবাধকতার,1,যতই,1,খাটাতে,1,দয়া,1
সংক্ষিপ্ত,2,আরেকটু,3,চত্বর,2,প্রাকৃতিক,2,লংঘনের,1,সীমাবদ্ধ,2,ছোবল,1,নিন্দা,1,পদ্ধতিই,1,জোয়ার,1
শব্দটাই,2,তারতম্য,3,শর্তে,2,যুক্তদের,2,সম্পর্কিত,1,সংস্থার,2,খাওয়াদের,1,ছোড়ে,1,প্রভাবাধীন,1,ধরেই,1
পরিণত,2,মাননীয়,3,সম্মাননার,2,মহাজাগরণে,2,গণপরিষদ,1,যোগ্য,2,ভরাডুবি,1,দশমাংশের,1,জীব,1,পড়লো,1
অতীতের,2,ব্যবসা,3,কবিরসহ,2,দলীয়,2,জাড়িত,1,প্রত্যাবর্তন,2,নর্তন,1,কলকব্জা,1,হাসপাতাল,1,জয়,1
শুনবে,2,উদ্দীপনার,3,নিষ্পত্তিও,2,আফতাব,2,প্রত্যাহারে,1,পৃথিবীব্যাপী,2,মধ্যযুগেও,1,কিনেছিলাম,1,আগ্রাসনে,1,আনাড়ি,1
দেখায়,2,তেল,3,দায়েরকৃত,2,সমীক্ষায়,2,বিদায়ী,1,লোভী,2,রফিকই,1,ইতিহাসে,1,বিক্রেতারা,1,সরকারিকরণ,1
অনুপ্রাণিত,2,খণ্ড,3,সীমাবদ্ধতা,2,যেদিন,2,বৃহত্তর,1,তাজউদ্দিন,2,গ্রন্থের,1,রক্ত,1,বেকারত্ব,1,দুর্দিন,1
আগস্ট,2,ব্যক্তিত্ব,3,ওয়াজেদ,2,সংলগ্ন,2,চললেও,1,মতভেদ,2,করিয়েছে,1,জানতে,1,অশান্তি,1,সদস্যপদ,1
পরিসংখ্যানটি,2,তাৎপর্য,3,প্রাকৃতিক,2,জ্ঞানবিতরণ,2,রীতিসিদ্ধ,1,লোভে,2,মরুক,1,দেওয়ার,1,ন্যায়সঙ্গত,1,বেল্ট,1
মরি,2,ড্রেকের,3,সংগ্রহে,2,দুইজন,2,শাসনামলে,1,ফোর্স,2,পররুচি,1,ছাত্রকালীন,1,এদেশে,1,ব্যক্তিত্বকে,1
প্রচ্ছন্ন,2,সলস্টিস,3,বাস্তবতায়,2,অর্থে,2,বউকে,1,কল্যাণে,2,ঘটুক,1,ব্যাক্তি,1,জলাভূমি,1,কোথা্ও,1
পতনের,2,চাপের,3,এটিকে,2,আলোচনার,2,প্রতিধ্বনি,1,বাতিল,2,মিনিটের,1,স্টেটে,1,অবিচ্ছেদ্য,1,ডটকম,1
পিছনের,2,শতাংশের,3,ভোটাধিকারসহ,2,পড়ার,2,উদয়,1,হিংস্র,2,নায়িকাদের,1,মাছরাঙ্গা,1,পঞ্চমত,1,কাকে,1
বৃদ্ধ,2,ধ্রুবক,3,সেভাবেই,2,মোর্চাবদ্ধ,2,দৃশ্যপটকেই,1,যুদ্ধবন্দী,2,শেখাবেন,1,ব্যাকটেরিয়ামের,1,শ্লোগানের,1,বাড়াবাড়ির,1
আছেই,2,রূপান্তরের,3,মেয়ে,2,শিক্ষানীতির,2,অবান্তর,1,জোগাড়,2,পীড়াপীড়ি,1,প্রাণিসত্তার,1,খাপে,1,আসবেই,1
ভালোবাসব,2,সংকোচন,3,যেদিকে,2,বিশ্ববিদ্যালয়সমূহ,2,রাতভর,1,বিষয়ক,2,মেলাতেই,1,মেদ,1,একভাবে,1,গালাজ,1
ঝরে,2,পড়েনি,3,তাকাননি,2,কোবরার,2,ঠেলাঠেলি,1,বদলাতে,2,কয়লাভিত্তক,1,অগভীর,1,চাপায়,1,অনুসন্ধানের,1
বাহিনীর,2,মতবাদের,3,হ্রাসের,2,মানুষটিকে,2,অনুপ,1,অর্থায়ন,2,বিকাশই,1,অনুপস্থিত,1,প্যারিস,1,সুর,1
ভাষণটি,2,গুঁড়ি,3,জায়েজ,2,ভাষায়,2,মুহিত,1,মনোয়ার,2,বলপ্রয়োগ,1,ভোক্তার,1,মদদ,1,ধরেন,1
ইউরোপের,2,নিয়েও,3,বিয়ে,2,গ্রুপের,2,ঘটার,1,জনের,2,খাবার,1,করাটাই,1,লাগালে,1,মুক্তিযুদ্ধটা,1
দুজনেই,2,দখল,3,শেয়ার,2,হতাশ,2,মরার,1,অনেকদিন,2,মিত্রদের,1,সক্রিয়ভাবে,1,লুটপাট,1,ওআরএস,1
সাড়ে,2,প্রযুক্তিকে,3,অভিযোগই,2,চেতনাকে,2,ঘটাল,1,অনুসারীরা,2,রত্নকে,1,সোনার,1,হীনদশা,1,অনুগামীদের,1
অভ্যুত্থান,2,বিস্তারিত,3,ফাটল,2,স্থপতি,2,অকৃত্রিম,1,পাশ্চাত্য,2,লাগসই,1,কোটিপতি,1,কোনটার,1,শিক্ষাগত,1
পত্রপত্রিকার,2,ইঙ্গিত,3,পুরস্কারও,2,দেশগুলো,2,বহ্নিশিখার,1,হচ্ছেন,2,কাড়াকাড়ির,1,ওয়াটারওয়েস,1,আল্লাহর,1,প্রতীকীভাবে,1
দুজনের,2,ইন্টার,3,ধুঁকে,2,প্রত্যাশিত,2,বেশিই,1,ক্ষতিকর,2,হাতিয়ার,1,হাঁটতে,1,যুদ্ধাপরাধী,1,কাগজ,1
সিদ্ধান্তগুলো,2,জ্বলে,3,কবির,2,দিবে,2,জুলুম,1,প্রমুখ,2,স্টাডিজ,1,বছরই,1,এনজিওর,1,কেসের,1
লাথি,2,জানুয়ারি,3,গণতান্ত্রিকভাবে,2,লাশ,2,ব্যস্ততা,1,নেতাকে,2,সন্ত্রাসবাদ,1,সেদিকে,1,শত্রুপক্ষ,1,বামযুদ্ধ,1
অসভ্য,2,গ্রিডকে,3,প্লেয়িং,2,ঘরগিন্নি,2,মামুনের,1,রেখেই,2,স্বেচ্ছা,1,পেট্রোলিয়ামকে,1,নতমস্তক,1,ধারণাটা,1
স্বাস্থ্য,2,অ্যাস্ট্রোনমিক্যাল,3,যেগুলো,2,স্টাইলে,2,পক্ষালম্বন,1,ঝাঁপিয়ে,2,অস্বস্তির,1,বিবাহ,1,অপ্রস্তুত,1,আটক,1
কলমের,2,ব্রিফার,3,বুঝব,2,আলোচনায়,2,নাটকীয়,1,গ্রন্থিতে,2,শব্দটি,1,একশ্রেণীর,1,নিষ্ঠুরতা,1,গ্রেনেড,1
আবেদন,2,স্যাটেলাইটটি,3,উপস্থিতি,2,সাবধান,2,মোকাবেলায়,1,কার্যক্রম,2,ঝুলিতেই,1,বাড়ায়,1,প্রচারপত্র,1,জানাবার,1
আজ্ঞাবহ,2,প্রদর্শন,3,প্রত্যাশার,2,অ্যাট,2,বিজ্ঞাপনদাতারাও,1,মুসলীম,2,নীতিনৈতিকতা,1,ভীষণ,1,পরিচয,1,বেডরুমের,1
স্মৃতিসৌধে,2,পিঠে,3,রয়েসয়ে,2,মধ্যবয়সী,2,গ্রহণযোগ্যতাই,1,পৌঁছে,2,প্রকাশন,1,চাষাবাদভিত্তিক,1,সংগঠনের,1,পরিদর্শক,1
অপরিস্কার,2,পটভূমি,3,সুন্দর,2,পড়েন,2,ক্যাডারভিত্তিক,1,বিমূর্ত,2,দলছুট,1,চিল্লেপাল্লা,1,হাঁসমুরগী,1,বাকিরা,1
উন্মুক্ত,2,সাদামাটা,3,জেতাও,2,নির্বিষ,2,রক্ষণশীলতার,1,রপ্তানি,2,ঢাকায়,1,ডাকে,1,কলাসহ,1,তুলেছিল,1
বোঝায়,2,পৃষ্ঠা,3,যুদ্ধাস্ত্রের,2,লম্বা,2,পারছেন,1,জোরে,2,দাঁড়াবেন,1,অমূলক,1,অভিবাসী,1,কর্মসূচির,1
পেনান্টি,2,আশপাশে,3,প্রত্যাশিত,2,শেরপুর,2,ফরম,1,অগ্রসরমান,2,প্রথমত,1,তাদেরও,1,মুরগী,1,বিষয়গুলো,1
হুল্লোড়,2,ডকুমেন্টারি,3,প্রত্যাশাও,2,রাতেই,2,প্রকারান্তরে,1,বাজেটটি,2,সাধারণভাবে,1,তাদেরই,1,কোনটাই,1,বিষয়গুলি,1
বোঝাব,2,মেশিনে,3,ডাক,2,নেওয়ার,2,ঘটেছেও,1,অপারেশনের,2,গাঁটছাড়া,1,পঁয়ত্রিশ,1,সেজন্যেই,1,বেশিরভাগই,1
বোঝান,2,প্রকাশনীর,3,ঢেলেছে,2,সমধিক,2,কোনো,1,কাঁচামালের,2,আধ্যাত্মিক,1,বিশোষক,1,গোপনে,1,উভয়েই,1
কাঠামোবদ্ধ,2,প্রমাণের,3,বিডিনিউজ,2,ওয়াশিকুর,2,আসনেই,1,ডাকটা,2,আহাম্মুকির,1,বাড়িও,1,ভেদ,1,নেগোশিয়েসনের,1
পত্রপত্রিকাগুলো,2,ইস্ট,3,দাঁড়ানো,2,ওখানে,2,প্রতিও,1,মজুদ,2,কালীর,1,মধ্যবর্তী,1,ঝড়ঝাপটা,1,বহুমাত্রিক,1
প্রবাসী,2,প্রকাশনার,3,দুর্বৃত্তায়িত,2,ফাঁকা,2,স্থাপত্যবিদ্যাজ্ঞান,1,নিপীড়িতের,2,আত্মোপলব্ধিতে,1,সামনের,1,পূর্তি,1,সদস্যরাই,1
হৃদয়,2,স্বল্প,3,গিয়েই,2,শুকিয়ে,2,জিয়াই,1,ইকবালের,2,লাইনে,1,ওয়াদা,1,অন্যদেশের,1,সাংবাদিককে,1
লোভনীয়,2,দাদাদের,3,গভীরভাবে,2,রাতের,2,প্রতাপ,1,মমতা,2,পাননি,1,কৃষকভাইয়েরা,1,প্রশ্নে,1,বিনয়ী,1
মহৎ,2,বঙ্গাব্দের,3,বাংলাদেশেও,2,তাহরির,2,ওকালতির,1,থেকেছে,2,খাদ্যপুষ্টি,1,সম্প্রতিক,1,পেনশন,1,মরলেও,1
ধিকি,2,অবশ্যম্ভাবী,3,কর্মসংস্থানের,2,কাতর,2,প্রথাগত,1,লেবার,2,প্রথমে,1,তুলছে,1,কাগজের,1,ফখরুল,1
ক্যামেরায়,2,সিদ্ধান্তের,3,সংস্থাটির,2,গাড়িও,2,উৎপাদিত,1,মালিকপক্ষও,2,প্রথমা,1,ডেমোক্রাট,1,বিদেশিদের,1,ছুঁয়ে,1
নিয়ন্ত্রণ,2,ধ্রুবকের,3,স্নেহভাজন,2,উপাচার্যগণ,2,দেউলিয়া,1,গুরুত্বের,2,পাঠানোর,1,রেসিপি,1,সার্ভিসিং,1,হয়েছিলাম,1
মহল,2,খুঁজতে,3,ডাল,2,জানমালের,2,বহুগুণে,1,পর্যবেক্ষণসমূহ,2,হায়েনাদের,1,ঝোল,1,প্রযুক্তিগত,1,আলাপই,1
একেক,2,অর্জিত,3,সাক্ষাৎকারের,2,উদ্ধারে,2,পণ্য,1,পুশ,2,মুখস্থ,1,কৃষিগবেষক,1,রপ্তানিমুখী,1,বাকশাল,1
ক্যামেরার,2,সার্কিট,3,সংঘবদ্ধভাবে,2,তাহরীর,2,পরিকল্পনাও,1,পেট্রোডলার,2,দায়িত্বসহ,1,এ্যাসকরবিক,1,মডেলকেই,1,ইউনূসসহ,1
এখনই,2,ব্যবস্থাকে,3,অনুৎসাহ,2,চিকিৎসা,2,নির্বাচনপর,1,রফতানি,2,শাস্তির,1,শাকসব্জিসহ,1,কাটারি,1,মুক্তিসংগ্রাম,1
নিরিবিলি,2,নিয়মে,3,জুড়ে,2,লেগ,2,হাজারো,1,ব্যালেন্স,2,যেতাম,1,স্বপ্নের,1,বৈচিত্রের,1,নির্মমভাবে,1
কাউন্সিলে,2,অবজার্ভেটরির,3,অধীনেই,2,অলৌকিকভাবে,2,বিদ্যালয়ের,1,পিস,2,আজকে,1,গন্তব্যস্থল,1,ঔষধ,1,অসংগঠিত,1
সুদীর্ঘ,2,চিরায়ত,3,মূলনীতিতে,2,সত্তর,2,বন্দরে,1,প্রশান্ত,2,ফাউ,1,দায়ের,1,বিশ্লেষণে,1,পুলিশও,1
মিলিটারিরা,2,শিক্ষার্থী,3,ফাঁকি,2,নীতিগত,2,অন্ধ,1,তিক্ত,2,নিগ্রহের,1,কোমল,1,বৃহদাকার,1,অফিসে,1
চালানোর,2,চতুর্দিকে,3,ফাঁকা,2,হারুন,2,ভাগ্যনিয়ন্ত্রক,1,কর্মকর্তা,2,কিশতি,1,ডয়াগনোষ্টিক,1,চুলচেরা,1,সামগ্রিকভাবে,1
জারি,2,পদার্থবিজ্ঞান,3,সেটিকে,2,বিপ্লব,2,রাষ্ট্রপতিকে,1,পরোক্ষভাবে,2,সমবায়ে,1,দোঁআশ,1,জার্মানিতে,1,তহবিলে,1
কিশোরীকে,2,সূর্যগ্রহণ,3,কবুল,2,পুনর্জাগরণ,2,পুনরাবৃত্তিই,1,বাস্তবায়নযোগ্য,2,সংশ্লিষ্টরা,1,সোমবার,1,প্রশ্নও,1,শিখতে,1
অনুনয়,2,অচল,3,ভোটারই,2,দারাজ,2,তাকালেই,1,নব্বইয়ের,2,পড়ব,1,নামলেও,1,ন্যাশনাল,1,সম্মানহানী,1
আমকে,2,তরঙ্গই,3,রোষানলে,2,কথাটা,2,শিকারের,1,কেনেডি,2,নেতারাও,1,স্বাস্থ,1,টাকাকে,1,এদিকে,1
পরীক্ষাগুলোতে,2,দশাতেই,3,ভয়ঙ্করভাবে,2,শামস,2,ঢাকাগামী,1,অনেকগুলো,2,সঙ্গী,1,সূর্য়ের,1,অফিস,1,স্বাক্ষরটা,1
এনেছি,2,কাকতালীয়,3,মুজিবনগর,2,বুলি,2,প্রতিক্রিয়ার,1,আড়াই,2,ভালোমানুষ,1,দেখেছি,1,সরবরাহও,1,বস্তুতে,1
এককভাবে,2,তারাবর্ণনা,3,ঐকমত্য,2,দারের,2,কিউরিদের,1,মিলে,2,জঙ্গিদের,1,গৃহকর্তার,1,শহর,1,আরম্ভ,1
হাঁটছে,2,দান,3,মতোই,2,অনেকেই,2,কর্মকর্তাও,1,ফাঁসির,2,পারাটা,1,উত্তরসূরী,1,পুকুর,1,পদ্ধতিটিও,1
মাঠ,2,স্তুপটি,3,রেস্তোরাঁয়,2,সাক্ষাৎকারে,2,বৃন্তের,1,অনেকগুলি,2,নীলফামারীতে,1,সামগ্রীর,1,নুইয়ে,1,বহুভাগে,1
মাফ,2,আসিফ,3,এমপিকে,2,পরিণতির,2,সীমন্তরক্ষী,1,নানারকম,2,দায়শোধের,1,পঁয়ষট্টি,1,ইঙ্গিত,1,সরকারসহ,1
মাপ,2,গণিতবিদেরা,3,কথাটি,2,কালো,2,রিজভীসহ,1,নাজি,2,প্রেরণ,1,জীবনটা,1,বাড়িভাড়া,1,বিচ্ছিন্নভাবে,1
বেসামরিক,2,পেটেন্ট,3,দুর্নীতিগ্রস্ত,2,সপ্তাহের,2,মুনের,1,কেনই,2,শ্রমিকশ্রেণিই,1,গুণাবলীর,1,সংবিধান,1,স্বাক্ষর,1
জন্মদিনে,2,দের,3,অনেকেও,2,ঠিকই,2,এড়ানো,1,পেত,2,মনোমুগ্ধকর,1,ছোটখাট,1,বিত্ত,1,বিস্তারের,1
মিল,2,জার্নাল,3,ফেলেছিলেন,2,লোক,2,কুখ্যাত,1,নানামুখী,2,নিয়ত,1,ভোক্তাকে,1,নিরূপনযোগ্য,1,ছাড়িয়েছেন,1
সঙ্গীতটি,2,ইকুয়েশন,3,কুণ্ঠিত,2,অবরোধকারীদের,2,দোলাচলে,1,তোমাকে,2,ডাক্তারখানা,1,অনীহা,1,উন্নয়নমূলক,1,চলছি,1
সত্যটির,2,দেড়,3,হৈচৈ,2,ক্ষতির,2,অবমাননা,1,উত্থাপন,2,ঢাকার,1,ভিজিয়ে,1,অনানুষ্ঠানিক,1,এরপরই,1
কাড়াকাড়ি,2,অভ্যন্তরীণ,3,কর্মকর্তাসহ,2,পাচ্ছেন,2,বিআরটিসি,1,অংশবিশেষ,2,পরিয়ে,1,উপকারিতার,1,লেগেছিল,1,আগরতলা,1
বাঁচানোর,2,সমানভাবে,3,তীর্যক,2,গ্রাউন্ডের,2,পদোন্নতিদান,1,ছাড়াই,2,প্রেমের,1,সিন্ধান্ত,1,বিক্তর,1,সড়কে,1
ঘাটতি,2,আলোচিত,3,পৃষ্ঠপোষক,2,গোধিকার,2,অধ্যুষিত,1,রাষ্ট্রভাষা,2,শহরাঞ্চলে,1,মুণ্ডু,1,আত্মসমর্পণ,1,বিব্রত,1
পাতায়,2,দিগন্তের,3,কক্সবাজারের,2,ছবিটি,2,কক্ষে,1,ক্রিয়াকাণ্ড,1,মহোদয়ের,1,ব্যপার,1,কর্তাব্যক্তি,1,গ্রামটায়,1
ছাত্রীটি,2,বস্তুই,3,বিদেশেও,2,পরিচয়কে,2,দিকভ্রান্ত,1,মোক্ষম,1,অন্যায়ও,1,স্পষ্ট,1,কাটবে,1,ভড়কে,1
কিশোরীরা,2,মহাসাগরের,3,ফেব্রুয়ারি,2,গোষ্ঠীর,2,সেইরূপ,1,মেজরিটি,1,শক্তিধর,1,মামাকে,1,যিনি,1,খেলা,1
প্যাভেলিয়ন,2,উঠলে,3,বিচারকার্যক্রম,2,ঐক্যে,2,দেখামাত্রই,1,ক্রাউডিং,1,প্রেসিডেন্ট,1,স্বত্বাধীকারী,1,আনুষ্ঠানিকভাবে,1,পুরস্কার,1
তুলকালাম,2,থাইমিন,3,সন্ত্রাসীদের,2,সমাপনী,2,চূর্ণ,1,লাইনটা,1,অখ্যাত,1,চিন্তায়,1,ইন্টার,1,আনুষ্ঠাকিতা,1
বোরকা,2,বুয়েটের,3,প্রয়াসী,2,আলোড়ন,2,বখত,1,পন্ডিত,1,উদ্ধারকারীর,1,রোগব্যবাধির,1,থাকাতে,1,প্রয়োগযোগ্য,1
নিরানন্দ,2,বেয়ে,3,আলিমের,2,এড়িয়ে,2,অপ্রাপ্তির,1,ব্যক্তিবিশেষের,1,রক্তচোষা,1,বেকারদের,1,অভিজাত,1,মহাজনের,1
বুঝতেও,2,আগমন,3,সম্ভাবনাময়,2,ট্রাইব্যুনালকে,2,আনিসুল,1,ধর্মগ্রন্থের,1,পড়ি,1,যাযকেরা,1,সুলভ,1,টেলিভিশনে,1
লাইনকে,2,আহরণ,3,সাকার,2,বলপ্রয়োগে,2,ঘরের,1,ঘটেছিল,1,পর্যায়ের,1,হ্যাজ,1,সহযোগে,1,নিয়মিতভাবে,1
